Source=C#
Scan	Interpolated_NET	Aligned_NET
918	0.12063	0.12063
919	0.12072	0.12072
920	0.12082	0.12082
921	0.12092	0.12092
922	0.12101	0.12101
923	0.12111	0.12111
924	0.1212	0.1212
925	0.1213	0.1213
926	0.12139	0.12139
927	0.12149	0.12149
928	0.12158	0.12158
929	0.12162	0.12162
930	0.12165	0.12165
931	0.12169	0.12169
932	0.12173	0.12173
933	0.12177	0.12177
934	0.12181	0.12181
935	0.12184	0.12184
936	0.12188	0.12188
937	0.12192	0.12192
938	0.12196	0.12196
939	0.122	0.122
940	0.12204	0.12204
941	0.12207	0.12207
942	0.12211	0.12211
943	0.12215	0.12215
944	0.12219	0.12219
945	0.12223	0.12223
946	0.12227	0.12227
947	0.1223	0.1223
948	0.12234	0.12234
949	0.12238	0.12238
950	0.12242	0.12242
951	0.12246	0.12246
952	0.1225	0.1225
953	0.12253	0.12253
954	0.12257	0.12257
955	0.12261	0.12261
956	0.12265	0.12265
957	0.12269	0.12269
958	0.12272	0.12272
959	0.12276	0.12276
960	0.1228	0.1228
961	0.12284	0.12284
962	0.12288	0.12288
963	0.12292	0.12292
964	0.12295	0.12295
965	0.12299	0.12299
966	0.12303	0.12303
967	0.12307	0.12307
968	0.12311	0.12311
969	0.12315	0.12315
970	0.12318	0.12318
971	0.12322	0.12322
972	0.12326	0.12326
973	0.1233	0.1233
974	0.12334	0.12334
975	0.12338	0.12338
976	0.12341	0.12341
977	0.12345	0.12345
978	0.12349	0.12349
979	0.12353	0.12353
980	0.12357	0.12357
981	0.1236	0.1236
982	0.12364	0.12364
983	0.12368	0.12368
984	0.12372	0.12372
985	0.12376	0.12376
986	0.1238	0.1238
987	0.12383	0.12383
988	0.12387	0.12387
989	0.12391	0.12391
990	0.12395	0.12395
991	0.12399	0.12399
992	0.12403	0.12403
993	0.12406	0.12406
994	0.1241	0.1241
995	0.12414	0.12414
996	0.12418	0.12418
997	0.12422	0.12422
998	0.12426	0.12426
999	0.12429	0.12429
1000	0.12433	0.12433
1001	0.12437	0.12437
1002	0.12441	0.12441
1003	0.12445	0.12445
1004	0.12448	0.12448
1005	0.12452	0.12452
1006	0.12456	0.12456
1007	0.1246	0.1246
1008	0.12464	0.12464
1009	0.12468	0.12468
1010	0.12471	0.12471
1011	0.12475	0.12475
1012	0.12479	0.12479
1013	0.12483	0.12483
1014	0.12487	0.12487
1015	0.12491	0.12491
1016	0.12494	0.12494
1017	0.12498	0.12498
1018	0.12502	0.12502
1019	0.12506	0.12506
1020	0.1251	0.1251
1021	0.12513	0.12513
1022	0.12517	0.12517
1023	0.12521	0.12521
1024	0.12525	0.12525
1025	0.12529	0.12529
1026	0.12533	0.12533
1027	0.12536	0.12536
1028	0.1254	0.1254
1029	0.12544	0.12544
1030	0.12548	0.12548
1031	0.12552	0.12552
1032	0.12556	0.12556
1033	0.12559	0.12559
1034	0.12563	0.12563
1035	0.12567	0.12567
1036	0.12571	0.12571
1037	0.12575	0.12575
1038	0.12579	0.12579
1039	0.12582	0.12582
1040	0.12586	0.12586
1041	0.1259	0.1259
1042	0.12594	0.12594
1043	0.12598	0.12598
1044	0.12601	0.12601
1045	0.12605	0.12605
1046	0.12609	0.12609
1047	0.12613	0.12613
1048	0.12617	0.12617
1049	0.12621	0.12621
1050	0.12624	0.12624
1051	0.12628	0.12628
1052	0.12632	0.12632
1053	0.12636	0.12636
1054	0.1264	0.1264
1055	0.12644	0.12644
1056	0.12647	0.12647
1057	0.12651	0.12651
1058	0.12655	0.12655
1059	0.12659	0.12659
1060	0.12663	0.12663
1061	0.12667	0.12667
1062	0.1267	0.1267
1063	0.12674	0.12674
1064	0.12678	0.12678
1065	0.12682	0.12682
